geography,1,2,3,4,5,6,7,8,total
E02000001,2506,1767,371,190,52,11,7,10,4914
E02000050,1147,1111,763,629,221,106,27,30,4034
E02000057,686,685,435,364,248,177,66,45,2706
E02000172,1452,1085,653,483,210,97,31,24,4035
E02000384,1507,1217,539,321,158,40,19,6,3807
E02000400,872,848,604,521,197,43,23,13,3121
E02000473,960,1228,779,698,270,67,12,8,4022
E02000617,813,968,676,567,208,76,21,15,3344
E02000854,815,994,544,552,135,37,4,2,3083
E02000978,1064,907,352,219,127,39,19,38,2765
E02002021,1703,1046,485,283,129,54,20,16,3736
E02002089,895,1084,590,455,160,48,9,12,3253
E02002168,1945,1121,622,504,256,102,51,35,4636
E02002677,1863,1194,554,350,130,28,3,7,4129
E02002776,902,1210,469,330,86,22,2,4,3025
E02002782,600,1026,381,407,106,14,4,1,2539
E02002793,1308,1644,628,476,129,27,6,4,4222
E02002797,1056,1244,474,436,93,17,4,4,3328
E02002819,1391,1236,436,307,101,40,12,23,3546
E02002821,1213,1206,878,650,320,121,87,63,4538
E02002889,1028,764,273,197,137,110,50,115,2674
E02002893,1449,1031,612,431,297,219,64,27,4130
E02002896,1540,1164,532,465,241,117,73,35,4167
E02002897,904,1088,487,514,162,52,13,15,3235
E02002898,810,701,476,484,343,282,105,94,3295
E02002925,1154,1912,700,532,208,59,12,10,4587
E02003381,519,864,389,447,116,31,10,4,2380
E02003437,807,989,497,496,121,39,3,3,2955
E02003467,773,782,408,327,167,79,26,10,2572
E02003472,1700,1320,634,431,213,93,47,22,4460
E02003480,929,1161,700,487,126,23,4,4,3434
E02003486,826,1112,753,813,218,47,17,14,3800
E02003488,952,1087,523,423,206,86,35,32,3344
E02003627,2131,1533,689,459,139,42,21,27,5041
E02003629,1318,1218,783,613,228,102,25,17,4304
E02003868,1612,1286,568,410,118,38,5,2,4039
E02003900,1005,1168,488,354,105,33,11,2,3166
E02004438,1207,1119,708,535,210,67,24,17,3887
E02005030,1406,1471,872,807,255,74,21,13,4919
E02005094,1114,1386,713,629,170,42,3,3,4060
E02005225,749,1044,399,349,83,17,8,2,2651
E02005371,1061,1735,714,629,196,57,10,18,4420
E02005449,1027,1219,523,347,124,43,6,9,3298
E02005518,1280,1638,795,579,162,59,14,3,4530
E02005614,1244,2012,1034,841,275,77,16,5,5504
E02005632,622,1204,454,337,93,25,7,2,2744
E02005891,1069,879,395,285,117,60,13,15,2833
E02005899,2190,1737,845,505,196,49,14,4,5540
E02005907,1299,1619,666,633,150,30,10,1,4408
E02005911,963,1183,577,630,127,34,2,0,3516
E02005912,1138,1349,609,583,162,41,16,8,3906
E02005992,1459,1989,1011,871,261,72,12,8,5683
E02006192,1026,1712,557,488,121,29,11,3,3947
E02006226,959,1440,786,570,199,52,11,6,4023
E02006261,911,1499,469,381,128,37,11,3,3439
E02006351,930,1057,563,614,181,33,10,1,3389
E02006417,784,872,425,376,93,20,11,4,2585
E02006564,1334,1506,461,388,101,18,5,3,3816
E02006566,1088,1517,499,399,120,36,8,4,3671
E02006575,669,724,568,562,300,120,41,30,3014
E02006784,969,847,548,430,193,73,23,42,3125
E02006904,1908,1575,396,160,72,34,8,27,4180
E02006974,1766,1756,803,472,195,40,14,6,5052
E02006978,1446,1154,401,264,71,12,5,4,3357
E02006992,1217,1445,579,352,130,28,17,4,3772
E02007012,642,809,596,654,222,55,13,9,3000
E02007014,808,810,550,460,145,36,6,7,2822
E02007070,569,1018,403,413,128,32,9,3,2575
W02000376,1034,920,489,404,99,21,5,2,2974
