geography,value
E02000001,2975
E02000050,4893.4
E02000057,7322.5
E02000172,14951.4
E02000384,10560.8
E02000400,5988.5
E02000473,3674.7
E02000617,1252.6
E02000854,4678.3
E02000978,1983.7
E02002021,2645.9
E02002089,537.4
E02002168,3768.3
E02002677,3231.4
E02002776,1069.5
E02002782,159.9
E02002793,2718.1
E02002797,2355.5
E02002819,1473.6
E02002821,4278.8
E02002889,8258.1
E02002893,11109.2
E02002896,3453.6
E02002897,3054.4
E02002898,2108.2
E02002925,48.1
E02003381,357.3
E02003437,792.2
E02003467,2339
E02003472,1834.8
E02003480,2141
E02003486,2477.2
E02003488,4633.1
E02003627,6565.3
E02003629,2528.3
E02003868,1844.4
E02003900,2291.1
E02004438,2891.8
E02005030,4868.9
E02005094,267.2
E02005225,125.9
E02005371,108.2
E02005449,1621.1
E02005518,3920.3
E02005614,516.6
E02005632,135.7
E02005891,834.1
E02005899,1572.8
E02005907,728.6
E02005911,839
E02005912,2515.8
E02005992,147.8
E02006192,71.6
E02006226,2739.5
E02006261,69.6
E02006351,2921.2
E02006417,703.1
E02006564,250.1
E02006566,75.3
E02006575,766.3
E02006784,5521.8
E02006904,4366.1
E02006974,3018.2
E02006978,4100
E02006992,4853.4
E02007012,2096.7
E02007014,1708.6
E02007070,124
W02000376,1011.4
